area,budget,climate,priority,design_id,actual_cost,energy_efficiency,water_efficiency,carbon_level
850,65,moderate,energy,0,127500,82,68,Low
1200,78,hot,water,2,216000,71,89,Low
1450,55,cold,energy,0,188500,79,64,Medium
920,42,moderate,materials,1,138000,68,71,Medium
1680,88,hot,water,2,302400,76,92,Low
1100,70,cold,energy,0,170500,85,67,Low
1350,48,moderate,materials,1,189000,65,69,Medium
780,82,hot,water,2,156000,73,88,Low
1520,91,cold,energy,0,276560,88,72,Low
950,38,moderate,materials,1,123500,62,66,High
1750,75,hot,water,2,288750,78,90,Low
1080,68,cold,energy,0,162000,81,65,Low
1420,52,moderate,energy,0,199600,74,70,Medium
890,85,hot,water,2,178000,72,91,Low
1290,44,cold,materials,1,174600,64,68,Medium
1580,95,moderate,energy,0,299100,89,75,Low
820,58,hot,water,2,147600,70,86,Medium
1650,72,cold,energy,0,237600,83,69,Low
1020,46,moderate,materials,1,142800,66,71,Medium
1380,88,hot,water,2,259200,77,93,Low
990,62,cold,energy,0,148500,80,66,Low
1480,50,moderate,energy,0,203400,75,72,Medium
860,79,hot,water,2,162240,74,89,Low
1240,40,cold,materials,1,161200,61,65,High
1710,92,moderate,energy,0,314820,87,76,Low
1050,67,hot,water,2,189000,73,87,Low
1390,54,cold,energy,0,195300,78,68,Medium
920,84,moderate,materials,1,154560,69,73,Medium
1560,45,hot,water,2,234000,71,85,Medium
1130,74,cold,energy,0,179820,84,70,Low
1320,58,moderate,energy,0,183480,76,71,Medium
870,88,hot,water,2,174960,75,92,Low
1620,48,cold,materials,1,233280,67,69,Medium
1010,71,moderate,energy,0,151500,82,72,Low
1440,62,hot,water,2,259200,74,88,Low
950,42,cold,energy,0,123500,77,64,Medium
1680,86,moderate,materials,1,288960,70,74,Medium
820,55,hot,water,2,143100,72,86,Low
1520,78,cold,energy,0,261360,85,71,Low
1090,49,moderate,materials,1,147420,68,70,Medium
1760,94,hot,water,2,314880,79,94,Low
1180,66,cold,energy,0,177120,81,67,Low
1400,52,moderate,energy,0,196000,75,71,Medium
890,82,hot,water,2,175560,73,90,Low
1270,44,cold,materials,1,166860,63,66,Medium
1590,90,moderate,energy,0,286200,88,76,Low
960,60,hot,water,2,172800,71,87,Low
1650,72,cold,energy,0,237600,83,69,Low
1030,47,moderate,materials,1,143190,67,71,Medium
1380,87,hot,water,2,259200,78,92,Low
